,Survived,Sex,Age,Ticket_category,Ticket_number,Is_with_familly,Fare_per_person,Pclass_1,Pclass_2,Pclass_3,SibSp_0,SibSp_1,SibSp_2,Parch_0,Parch_1,Parch_2,Embarked_C,Embarked_Q,Embarked_S
0,0,0,0.2711736617240512,1,0.05371441619729031,0,0.032690171125155106,0,0,1,0,1,0,1,0,0,0,0,1
1,1,1,0.4722292033174164,1,0.044651646623027355,0,0.32141562418838193,1,0,0,0,1,0,1,0,0,1,0,0
2,1,1,0.32143754712239253,1,0.7535117473227452,0,0.03573373878163506,0,0,1,1,0,0,1,0,0,0,0,1
3,1,1,0.4345312892686604,0,0.2887375044400467,1,0.11971366115487836,1,0,0,0,1,0,1,0,0,0,0,1
4,0,0,0.4345312892686604,0,0.9475059623484042,0,0.036297362421723954,0,0,1,1,0,0,1,0,0,0,0,1
5,0,0,0.3278158951094034,0,0.8394910437915463,0,0.038138382679710266,0,0,1,1,0,0,1,0,0,0,1,0
6,0,0,0.6732847449107816,0,0.04430659156644847,0,0.2338474482728768,1,0,0,1,0,0,1,0,0,0,0,1
7,0,0,0.01985423473234481,0,0.8877784543563202,1,0.02375673642974634,0,0,1,0,0,1,0,1,0,0,0,1
8,1,1,0.33400351847197784,0,0.8822804079768611,1,0.016733309525870776,0,0,1,1,0,0,0,0,1,0,0,1
9,1,1,0.17064589092736868,0,0.6031765362561526,1,0.06779445502553891,0,1,0,0,1,0,1,0,0,1,0,0
10,1,1,0.04498617743151546,1,0.024227431876998023,1,0.03765005915793726,0,0,1,0,1,0,0,1,0,0,0,1
11,1,1,0.723548630309123,0,0.28868676104937335,0,0.11971366115487836,1,0,0,1,0,0,1,0,0,0,0,1
12,0,0,0.24604171902488062,1,0.005457451666920384,0,0.036297362421723954,0,0,1,1,0,0,1,0,0,0,0,1
13,0,0,0.4847951746670017,0,0.88060587608464,1,0.020145519250034008,0,0,1,0,1,0,0,0,1,0,0,1
14,0,1,0.17064589092736868,0,0.8890394276145532,0,0.03541450235188872,0,0,1,1,0,0,1,0,0,0,0,1
15,1,1,0.685850716260367,0,0.6310092860404932,0,0.07214382593137679,0,1,0,1,0,0,1,0,0,0,0,1
16,0,0,0.01985423473234481,0,0.9708529963972193,1,0.026264861628141862,0,0,1,0,0,1,0,1,0,0,1,0
17,1,0,0.38100913634967415,0,0.6200157304511088,0,0.05861685856924364,0,1,0,1,0,0,1,0,0,0,0,1
